record_index,byte_offset,sample_seq,time_s,device_id,accel_x_raw,accel_x_g,accel_y_raw,accel_y_g,accel_z_raw,accel_z_g,gyro_x_raw,gyro_x_dps,gyro_y_raw,gyro_y_dps,gyro_z_raw,gyro_z_dps,mag_x_raw,mag_y_raw,mag_z_raw,angle_x_raw,angle_x_deg,angle_y_raw,angle_y_deg,angle_z_raw,angle_z_deg,battery_raw,battery_voltage
203,7393,2345730,0.086,1,-6,-0.0029296875,-20,-0.009765625,2062,1.0068359375,-3,-0.18310546875,-17,-1.03759765625,-2,-0.1220703125,-1380,-5314,-4121,-668,-3.66943359375,-828,-4.54833984375,-6621,-36.3702392578125,407,4.07
205,7462,2345731,0.0865,2,5,0.00244140625,-20,-0.009765625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2892,4952,13349,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
216,7864,2345741,0.0915,0,-2,-0.0009765625,-18,-0.0087890625,2100,1.025390625,-7,-0.42724609375,-14,-0.8544921875,5,0.30517578125,-8288,-3918,136,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
218,7933,2345742,0.092,1,-11,-0.00537109375,-21,-0.01025390625,2057,1.00439453125,-2,-0.1220703125,-15,-0.91552734375,-4,-0.244140625,-1377,-5325,-4099,-665,-3.6529541015625,-823,-4.5208740234375,-6621,-36.3702392578125,407,4.07
221,8039,2345744,0.093,2,5,0.00244140625,-20,-0.009765625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2899,4946,13345,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
232,8441,2345754,0.098,0,-2,-0.0009765625,-22,-0.0107421875,2098,1.0244140625,-6,-0.3662109375,-14,-0.8544921875,4,0.244140625,-8293,-3922,133,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
235,8547,2345756,0.099,1,-7,-0.00341796875,-18,-0.0087890625,2057,1.00439453125,-2,-0.1220703125,-14,-0.8544921875,-2,-0.1220703125,-1360,-5330,-4095,-665,-3.6529541015625,-823,-4.5208740234375,-6621,-36.3702392578125,408,4.08
238,8653,2345758,0.1,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2905,4939,13369,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
249,9055,2345768,0.105,0,1,0.00048828125,-20,-0.009765625,2100,1.025390625,-5,-0.30517578125,-14,-0.8544921875,4,0.244140625,-8317,-3906,139,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
252,9161,2345770,0.106,1,-9,-0.00439453125,-17,-0.00830078125,2060,1.005859375,-1,-0.06103515625,-14,-0.8544921875,-1,-0.06103515625,-1381,-5329,-4096,-665,-3.6529541015625,-823,-4.5208740234375,-6621,-36.3702392578125,408,4.08
259,9415,2345776,0.109,2,6,0.0029296875,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2895,4944,13360,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
266,9669,2345782,0.112,0,-2,-0.0009765625,-16,-0.0078125,2096,1.0234375,-5,-0.30517578125,-15,-0.91552734375,5,0.30517578125,-8325,-3902,135,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
273,9923,2345788,0.115,1,-10,-0.0048828125,-16,-0.0078125,2059,1.00537109375,0,0.0,-15,-0.91552734375,-2,-0.1220703125,-1409,-5334,-4193,-662,-3.636474609375,-818,-4.493408203125,-6622,-36.375732421875,408,4.08
274,9955,2345788,0.115,2,5,0.00244140625,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2889,4948,13377,-237,-1.3018798828125,-17,-0.0933837890625,25256,138.7353515625,409,4.09
287,10431,2345800,0.121,0,-2,-0.0009765625,-16,-0.0078125,2096,1.0234375,-5,-0.30517578125,-15,-0.91552734375,5,0.30517578125,-8325,-3902,135,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
288,10463,2345800,0.121,1,-7,-0.00341796875,-17,-0.00830078125,2061,1.00634765625,1,0.06103515625,-13,-0.79345703125,0,0.0,-1396,-5333,-4191,-662,-3.636474609375,-818,-4.493408203125,-6622,-36.375732421875,408,4.08
289,10495,2345800,0.121,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2890,4946,13335,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
301,10934,2345811,0.1265,0,-1,-0.00048828125,-17,-0.00830078125,2100,1.025390625,-5,-0.30517578125,-17,-1.03759765625,3,0.18310546875,-8341,-3948,160,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
303,11003,2345812,0.127,1,-8,-0.00390625,-20,-0.009765625,2063,1.00732421875,-5,-0.30517578125,-13,-0.79345703125,-1,-0.06103515625,-1372,-5319,-4237,-658,-3.614501953125,-813,-4.4659423828125,-6622,-36.375732421875,408,4.08
306,11109,2345814,0.128,2,5,0.00244140625,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2909,4966,13333,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
317,11511,2345824,0.133,0,0,0.0,-23,-0.01123046875,2103,1.02685546875,-5,-0.30517578125,-13,-0.79345703125,4,0.244140625,-8314,-3936,191,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
320,11617,2345826,0.134,1,-8,-0.00390625,-14,-0.0068359375,2062,1.0068359375,-3,-0.18310546875,-14,-0.8544921875,-1,-0.06103515625,-1365,-5314,-4239,-658,-3.614501953125,-813,-4.4659423828125,-6622,-36.375732421875,408,4.08
323,11723,2345828,0.135,2,5,0.00244140625,-20,-0.009765625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2907,4984,13319,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
334,12125,2345838,0.14,0,-1,-0.00048828125,-22,-0.0107421875,2100,1.025390625,-7,-0.42724609375,-15,-0.91552734375,6,0.3662109375,-8330,-3964,173,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
337,12231,2345840,0.141,1,-11,-0.00537109375,-20,-0.009765625,2060,1.005859375,-1,-0.06103515625,-15,-0.91552734375,-1,-0.06103515625,-1318,-5318,-4258,-658,-3.614501953125,-813,-4.4659423828125,-6622,-36.375732421875,408,4.08
344,12485,2345846,0.144,2,5,0.00244140625,-20,-0.009765625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2895,4972,13336,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
351,12739,2345852,0.147,0,-4,-0.001953125,-18,-0.0087890625,2100,1.025390625,-5,-0.30517578125,-15,-0.91552734375,4,0.244140625,-8316,-3969,189,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
358,12993,2345858,0.15,1,-8,-0.00390625,-17,-0.00830078125,2060,1.005859375,0,0.0,-14,-0.8544921875,-2,-0.1220703125,-1328,-5296,-4223,-655,-3.5980224609375,-808,-4.4384765625,-6622,-36.375732421875,408,4.08
359,13025,2345858,0.15,2,5,0.00244140625,-20,-0.009765625,2077,1.01416015625,-3,-0.18310546875,-4,-0.244140625,9,0.54931640625,-2870,4949,13315,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
372,13501,2345870,0.156,0,1,0.00048828125,-19,-0.00927734375,2103,1.02685546875,-7,-0.42724609375,-15,-0.91552734375,4,0.244140625,-8312,-3968,178,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
373,13533,2345870,0.156,1,-5,-0.00244140625,-16,-0.0078125,2059,1.00537109375,3,0.18310546875,-14,-0.8544921875,-2,-0.1220703125,-1366,-5288,-4192,-655,-3.5980224609375,-808,-4.4384765625,-6622,-36.375732421875,408,4.08
375,13602,2345871,0.1565,2,5,0.00244140625,-21,-0.01025390625,2078,1.0146484375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2857,4976,13328,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
386,14004,2345881,0.1615,0,-5,-0.00244140625,-17,-0.00830078125,2097,1.02392578125,-5,-0.30517578125,-14,-0.8544921875,4,0.244140625,-8290,-3961,167,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
388,14073,2345882,0.162,1,-8,-0.00390625,-18,-0.0087890625,2053,1.00244140625,0,0.0,-15,-0.91552734375,0,0.0,-1348,-5268,-4187,-655,-3.5980224609375,-808,-4.4384765625,-6622,-36.375732421875,408,4.08
391,14179,2345884,0.163,2,5,0.00244140625,-21,-0.01025390625,2078,1.0146484375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2847,4997,13342,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
409,14840,2345901,0.1715,0,-2,-0.0009765625,-17,-0.00830078125,2099,1.02490234375,-5,-0.30517578125,-16,-0.9765625,2,0.1220703125,-8262,-3952,171,-190,-1.043701171875,6,0.032958984375,-20934,-114.993896484375,403,4.03
410,14872,2345901,0.1715,1,-9,-0.00439453125,-20,-0.009765625,2059,1.00537109375,-4,-0.244140625,-16,-0.9765625,-1,-0.06103515625,-1362,-5257,-4150,-652,-3.58154296875,-804,-4.41650390625,-6623,-36.3812255859375,408,4.08
418,15163,2345908,0.175,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-2,-0.1220703125,-4,-0.244140625,10,0.6103515625,-2818,4993,13379,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
419,15195,2345908,0.175,0,-1,-0.00048828125,-19,-0.00927734375,2101,1.02587890625,-9,-0.54931640625,-16,-0.9765625,5,0.30517578125,-8265,-3927,153,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
422,15301,2345910,0.176,1,-11,-0.00537109375,-18,-0.0087890625,2061,1.00634765625,-5,-0.30517578125,-15,-0.91552734375,-2,-0.1220703125,-1373,-5240,-4176,-652,-3.58154296875,-804,-4.41650390625,-6623,-36.3812255859375,408,4.08
431,15629,2345918,0.18,2,5,0.00244140625,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2831,4994,13369,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
436,15809,2345922,0.182,0,-1,-0.00048828125,-18,-0.0087890625,2099,1.02490234375,-4,-0.244140625,-14,-0.8544921875,5,0.30517578125,-8267,-3917,145,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
443,16063,2345928,0.185,1,-10,-0.0048828125,-17,-0.00830078125,2055,1.00341796875,-3,-0.18310546875,-15,-0.91552734375,-1,-0.06103515625,-1394,-5267,-4201,-652,-3.58154296875,-804,-4.41650390625,-6623,-36.3812255859375,408,4.08
444,16095,2345928,0.185,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2835,4995,13391,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
457,16571,2345940,0.191,0,-3,-0.00146484375,-17,-0.00830078125,2101,1.02587890625,-7,-0.42724609375,-14,-0.8544921875,2,0.1220703125,-8268,-3908,138,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
458,16603,2345940,0.191,1,-6,-0.0029296875,-21,-0.01025390625,2065,1.00830078125,-1,-0.06103515625,-15,-0.91552734375,-1,-0.06103515625,-1394,-5270,-4174,-649,-3.5650634765625,-799,-4.3890380859375,-6623,-36.3812255859375,408,4.08
459,16635,2345940,0.191,2,5,0.00244140625,-21,-0.01025390625,2075,1.01318359375,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2818,4991,13393,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
472,17111,2345952,0.197,0,-1,-0.00048828125,-21,-0.01025390625,2095,1.02294921875,-5,-0.30517578125,-15,-0.91552734375,6,0.3662109375,-8262,-3905,123,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
473,17143,2345952,0.197,1,-10,-0.0048828125,-16,-0.0078125,2056,1.00390625,-2,-0.1220703125,-15,-0.91552734375,-3,-0.18310546875,-1382,-5272,-4194,-649,-3.5650634765625,-799,-4.3890380859375,-6623,-36.3812255859375,408,4.08
476,17249,2345954,0.198,2,5,0.00244140625,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2824,4994,13362,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
487,17651,2345964,0.203,0,0,0.0,-18,-0.0087890625,2098,1.0244140625,-6,-0.3662109375,-13,-0.79345703125,5,0.30517578125,-8283,-3906,143,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
490,17757,2345966,0.204,1,-4,-0.001953125,-16,-0.0078125,2060,1.005859375,0,0.0,-16,-0.9765625,-1,-0.06103515625,-1361,-5277,-4230,-649,-3.5650634765625,-799,-4.3890380859375,-6623,-36.3812255859375,408,4.08
493,17863,2345968,0.205,2,6,0.0029296875,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2843,4987,13325,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
504,18265,2345978,0.21,0,0,0.0,-18,-0.0087890625,2098,1.0244140625,-6,-0.3662109375,-13,-0.79345703125,5,0.30517578125,-8283,-3906,143,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,403,4.03
507,18371,2345980,0.211,1,-10,-0.0048828125,-16,-0.0078125,2064,1.0078125,-1,-0.06103515625,-13,-0.79345703125,-1,-0.06103515625,-1372,-5269,-4200,-646,-3.548583984375,-794,-4.361572265625,-6623,-36.3812255859375,408,4.08
514,18625,2345986,0.214,2,6,0.0029296875,-21,-0.01025390625,2076,1.013671875,-3,-0.18310546875,-4,-0.244140625,10,0.6103515625,-2857,5015,13342,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
521,18879,2345992,0.217,0,-1,-0.00048828125,-24,-0.01171875,2094,1.0224609375,-4,-0.244140625,-15,-0.91552734375,6,0.3662109375,-8281,-3915,163,-190,-1.043701171875,6,0.032958984375,-20935,-114.9993896484375,404,4.04
528,19133,2345998,0.22,1,-8,-0.00390625,-15,-0.00732421875,2057,1.00439453125,-1,-0.06103515625,-15,-0.91552734375,-4,-0.244140625,-1388,-5292,-4227,-646,-3.548583984375,-794,-4.361572265625,-6623,-36.3812255859375,408,4.08
529,19165,2345998,0.22,2,7,0.00341796875,-21,-0.01025390625,2077,1.01416015625,-3,-0.18310546875,-5,-0.30517578125,10,0.6103515625,-2874,5020,13337,-237,-1.3018798828125,-18,-0.098876953125,25256,138.7353515625,409,4.09
