record_index,byte_offset,sample_seq,time_s,adc_raw_ch01,adc_raw_ch02,adc_raw_ch03,adc_raw_ch04,adc_raw_ch05,adc_raw_ch06,adc_raw_ch07,adc_raw_ch08,adc_raw_ch09,adc_raw_ch10,adc_raw_ch11,adc_raw_ch12,adc_raw_ch13,adc_raw_ch14,adc_raw_ch15,adc_raw_ch16,adc_volts_ch01,adc_volts_ch02,adc_volts_ch03,adc_volts_ch04,adc_volts_ch05,adc_volts_ch06,adc_volts_ch07,adc_volts_ch08,adc_volts_ch09,adc_volts_ch10,adc_volts_ch11,adc_volts_ch12,adc_volts_ch13,adc_volts_ch14,adc_volts_ch15,adc_volts_ch16
45,1692,195524,0.022,22930,22900,22888,22906,22868,22940,22902,22874,22794,22780,22808,22712,22708,22674,22760,22802,3.49884033203125,3.4942626953125,3.492431640625,3.49517822265625,3.4893798828125,3.5003662109375,3.49456787109375,3.49029541015625,3.47808837890625,3.4759521484375,3.480224609375,3.465576171875,3.4649658203125,3.45977783203125,3.472900390625,3.47930908203125
46,1729,195525,0.0225,22960,22940,22916,22946,22916,22982,22946,22916,22828,22824,22836,22768,22746,22704,22788,22838,3.50341796875,3.5003662109375,3.4967041015625,3.50128173828125,3.4967041015625,3.50677490234375,3.50128173828125,3.4967041015625,3.4832763671875,3.482666015625,3.4844970703125,3.47412109375,3.47076416015625,3.46435546875,3.4771728515625,3.48480224609375
47,1766,195526,0.023,22942,22916,22900,22918,22884,22956,22924,22888,22814,22780,22824,22720,22716,22690,22776,22810,3.50067138671875,3.4967041015625,3.4942626953125,3.49700927734375,3.4918212890625,3.5028076171875,3.4979248046875,3.492431640625,3.48114013671875,3.4759521484375,3.482666015625,3.466796875,3.4661865234375,3.46221923828125,3.475341796875,3.48052978515625
48,1803,195527,0.0235,22942,22912,22906,22926,22882,22950,22926,22888,22802,22776,22812,22720,22714,22688,22760,22804,3.50067138671875,3.49609375,3.49517822265625,3.49822998046875,3.49151611328125,3.50189208984375,3.49822998046875,3.492431640625,3.47930908203125,3.475341796875,3.4808349609375,3.466796875,3.46588134765625,3.4619140625,3.472900390625,3.4796142578125
49,1840,195528,0.024,22858,22842,22818,22838,22806,22882,22834,22804,22696,22718,22730,22652,22618,22608,22668,22724,3.48785400390625,3.48541259765625,3.48175048828125,3.48480224609375,3.47991943359375,3.49151611328125,3.48419189453125,3.4796142578125,3.463134765625,3.46649169921875,3.46832275390625,3.4564208984375,3.45123291015625,3.44970703125,3.4588623046875,3.4674072265625
50,1877,195529,0.0245,22942,22930,22912,22930,22888,22968,22940,22898,22814,22786,22816,22740,22724,22694,22764,22814,3.50067138671875,3.49884033203125,3.49609375,3.49884033203125,3.492431640625,3.504638671875,3.5003662109375,3.49395751953125,3.48114013671875,3.47686767578125,3.4814453125,3.4698486328125,3.4674072265625,3.46282958984375,3.4735107421875,3.48114013671875
51,1914,195530,0.025,23060,23044,23016,23040,22998,23066,23040,23004,22896,22908,22928,22844,22810,22788,22858,22916,3.5186767578125,3.5162353515625,3.511962890625,3.515625,3.50921630859375,3.51959228515625,3.515625,3.5101318359375,3.49365234375,3.4954833984375,3.49853515625,3.4857177734375,3.48052978515625,3.4771728515625,3.48785400390625,3.4967041015625
52,1951,195531,0.0255,22946,22942,22910,22930,22894,22972,22942,22894,22822,22810,22830,22744,22742,22702,22782,22818,3.50128173828125,3.50067138671875,3.49578857421875,3.49884033203125,3.49334716796875,3.5052490234375,3.50067138671875,3.49334716796875,3.48236083984375,3.48052978515625,3.48358154296875,3.470458984375,3.47015380859375,3.46405029296875,3.47625732421875,3.48175048828125
53,1988,195532,0.026,22940,22918,22900,22926,22888,22954,22928,22890,22812,22798,22824,22740,22720,22696,22772,22810,3.5003662109375,3.49700927734375,3.4942626953125,3.49822998046875,3.492431640625,3.50250244140625,3.49853515625,3.49273681640625,3.4808349609375,3.47869873046875,3.482666015625,3.4698486328125,3.466796875,3.463134765625,3.4747314453125,3.48052978515625
55,2057,195533,0.0265,22926,22904,22882,22910,22872,22936,22898,22872,22762,22780,22794,22704,22684,22666,22732,22788,3.49822998046875,3.494873046875,3.49151611328125,3.49578857421875,3.489990234375,3.499755859375,3.49395751953125,3.489990234375,3.47320556640625,3.4759521484375,3.47808837890625,3.46435546875,3.4613037109375,3.45855712890625,3.4686279296875,3.4771728515625
